run_ts,symbol,exchange,token,price,atr_pct,beta,abs_beta,enabled,reason,atr_floor,abs_beta_floor,vol_interval,vol_days,beta_days
2026-01-13T21:33:53+05:30,360ONE,NSE,3343617.0,1139.2,0.106,1.98,1.98,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ABB,NSE,3329.0,4960.0,0.079,1.33,1.33,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ABCAPITAL,NSE,5533185.0,351.0,0.104,0.58,0.58,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ADANIENSOL,NSE,2615553.0,933.0,0.099,1.86,1.86,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ADANIENT,NSE,6401.0,2156.5,0.087,2.0,2.0,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ADANIGREEN,NSE,912129.0,935.5,0.099,2.21,2.21,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ADANIPORTS,NSE,3861249.0,1429.9,0.071,1.21,1.21,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ALKEM,NSE,2995969.0,5865.0,0.083,0.69,0.69,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,AMBER,NSE,303361.0,6145.0,0.106,0.95,0.95,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,AMBUJACEM,NSE,325121.0,537.0,0.08,1.13,1.13,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ANGELONE,NSE,82945.0,2441.8,0.123,2.44,2.44,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,APLAPOLLO,NSE,6599681.0,1907.0,0.09,0.76,0.76,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,APOLLOHOSP,NSE,40193.0,7308.0,0.066,0.82,0.82,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ASHOKLEY,NSE,54273.0,185.69,0.094,0.83,0.83,N,BELOW_MIN_PRICE,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ASIANPAINT,NSE,60417.0,2880.2,0.074,0.32,0.32,N,LOW_VOL_AND_LOW_ABS_BETA,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,ASTRAL,NSE,3691009.0,1435.1,0.096,0.74,0.74,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,AUBANK,NSE,5436929.0,971.5,0.077,-0.16,0.16,N,LOW_VOL_AND_LOW_ABS_BETA,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,AUROPHARMA,NSE,70401.0,1161.4,0.094,1.17,1.17,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,AXISBANK,NSE,1510401.0,1262.4,0.074,0.98,0.98,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BAJAJ-AUTO,NSE,4267265.0,9550.0,0.077,0.72,0.72,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BAJAJFINSV,NSE,4268801.0,2007.0,0.068,1.31,1.31,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BAJFINANCE,NSE,81153.0,949.4,0.081,1.12,1.12,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BANDHANBNK,NSE,579329.0,143.43,0.094,0.93,0.93,N,BELOW_MIN_PRICE,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BANKBARODA,NSE,1195009.0,302.15,0.092,0.88,0.88,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BANKINDIA,NSE,1214721.0,147.46,0.101,1.4,1.4,N,BELOW_MIN_PRICE,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BDL,NSE,548865.0,1520.2,0.13,2.15,2.15,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BEL,NSE,98049.0,413.35,0.095,1.38,1.38,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BHARATFORG,NSE,108033.0,1460.3,0.091,1.5,1.5,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BHARTIARTL,NSE,2714625.0,2025.3,0.066,0.64,0.64,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BHEL,NSE,112129.0,265.1,0.134,2.56,2.56,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BIOCON,NSE,2911489.0,376.6,0.098,0.95,0.95,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BLUESTARCO,NSE,2127617.0,1788.7,0.102,1.11,1.11,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BOSCHLTD,NSE,558337.0,37890.0,0.088,1.69,1.69,Y,ENABLED_OK,0.08,0.6,minute,21,60
2026-01-13T21:33:53+05:30,BPCL,NSE,134657.0,354.5,0.096,1.6,1.6,Y,ENABLED_OK,0.08,0.6,minute,21,60
